Country Name,Country Code,elec_use_capita_2014,elec_access_2014,pop_2014,per_industry,per_residential,per_commercial,Industry_total_electricity(GWh),Residential_total_electricity(GWh),Commercial_total_electricity(GWh)
Albania,ALB,2309.36650255581,100,2889104,0.21311475409836064,0.5792349726775956,0.14754098360655735,1421.901639344262,3864.655737704918,984.3934426229507
Algeria,DZA,1362.87191909646,99.8770523071289,38923687,0.3717146433041302,0.6095118898623281,0.0,19694.474688663387,32293.633580400914,0.0
Angola,AGO,312.228824978484,32,26941779,0.31313131313131315,0.6868686868686869,0.0,842.8993939393936,1848.940606060605,0.0
Argentina,ARG,3074.70207056563,100,42669500,0.461550315919248,0.28324857451071045,0.24133148404993066,60553.55524734173,37161.07998150721,31661.725381414737
Armenia,ARM,1961.61039526467,100,2912403,0.1941747572815534,0.4336569579288026,0.06472491909385113,1109.3203883495169,2477.482200647254,369.77346278317225
Australia,AUS,10071.3989785006,100,23475686,0.4458731654773125,0.2822808671065033,0.2416184192810017,105419.13013329779,66740.51225259212,57126.56772586527
Austria,AUT,8355.84195182134,100,8546356,0.3857903263133534,0.29784772043508445,0.2305021985651469,27550.0587826892,21269.901411710256,16460.623003934274
Azerbaijan,AZE,2202.39391828846,100,9535079,0.050724637681159424,0.6851851851851852,0.1714975845410628,1065.2173913043484,14388.888888888898,3601.4492753623203
Bahrain,BHR,19596.9537638231,100,1336075,0.6441281138790036,0.2357651245551601,0.11743772241992882,16865.20640569392,6173.0382562277455,3074.871886120991
Belarus,BLR,3679.9788400689,100,9474511,0.4819800260529744,0.20798957881024752,0.17238384715588362,16804.71558836302,7251.764654798097,6010.335214937043
Belgium,BEL,7709.12307788247,100,11209057,0.5141742912854357,0.3061346932653367,0.15779211039448027,44430.82885855709,26453.71111444429,13635.131843407837
Benin,BEN,100.225122540037,34.1,10286842,0.2571428571428571,0.4,0.3428571428571429,90.40397142857137,140.62839999999994,120.53862857142853
Bolivia,BOL,742.538399742886,90.038729,10706517,0.35785953177257523,0.4013377926421405,0.2307692307692308,2561.5867834063565,2872.8076075585304,1651.8643743461553
Bosnia and Herzegovina,BIH,3446.76666750907,100,3482104,0.20436507936507936,0.625,0.17063492063492064,2452.789682539683,7501.250000000001,2047.9603174603178
Botswana,BWA,1815.55806865223,56.126823425293,2088614,0.457516339869281,0.1568627450980392,0.3071895424836601,973.7453601313599,333.85555204503777,653.8004560881988
Brazil,BRA,2619.96061573831,99.650247,202763735,0.4569059172883321,0.26033895849931193,0.23886434417324545,241874.5684318242,137816.93528226868,126448.81139544364
Brunei Darussalam,BRN,10291.1640460845,100,409769,0.11848341232227487,0.2132701421800948,0.6682464454976303,499.64454976303296,899.3601895734595,2817.995260663506
Bulgaria,BGR,4708.92745757231,100,7223938,0.3537871524448706,0.4065196548418025,0.2109300095877277,12034.777564717164,13828.579098753597,7175.206136145733
Cambodia,KHM,271.367258234196,56.1,15274503,0.09375,0.53125,0.28125,218.0010937500001,1235.3395312500006,654.0032812500003
Cameroon,CMR,275.197913680616,56.8,22681858,0.5579399141630901,0.14163090128755365,0.12446351931330472,1978.1514163090094,502.1461287553639,441.27993133047136
Canada,CAN,15588.4871464315,100,35437435,0.422250132843824,0.28708758031012993,0.2613400318825177,233257.72938505458,158591.77276460122,144368.41505241333
Chile,CHL,3879.6756048595,100,17758959,0.6987341772151898,0.1680379746835443,0.12278481012658228,48142.08607594941,11577.64841772153,8459.7506329114
China,CHN,3927.04449998901,100,1364270000,0.6656943151092213,0.140074721477376,0.0676981072802953,3566489.9122190983,750457.1839763954,362695.9269614392
Colombia,COL,1312.15750301437,97.790938,46969209,0.3425183118242065,0.3337983955354029,0.2731077781653296,20643.418697175453,20117.873414660808,16460.078248358837
"Congo, Dem. Rep.",COD,108.516701140545,13.5,73767447,0.417948717948718,0.2717948717948718,0.31025641025641026,451.6667307692304,293.7219230769228,335.28634615384584
"Congo, Rep.",COG,202.872128916055,52.6803169250488,4736974,0.5454545454545454,0.4545454545454545,0.0,276.140643081665,230.1172025680542,0.0
Costa Rica,CRI,1942.48816990297,99.359291,4795396,0.242914979757085,0.43724696356275305,0.2712550607287449,2248.255374085026,4046.859673353046,2510.551834394945
Croatia,HRV,3714.38298844207,100,4238389,0.2416502946954813,0.4842829076620826,0.2475442043222004,3804.3005893909617,7624.065815324166,3897.0884086444003
Cuba,CUB,1450.88371686603,98.8988342285156,11306902,0.3399405351833499,0.3617443012884044,0.2715559960356789,5515.315498542579,5869.067513026359,4405.820544025267
Cyprus,CYP,3624.97125277167,100,1152285,0.14728682170542634,0.3527131782945737,0.4186046511627907,615.2170542635664,1473.2829457364357,1748.5116279069784
Czech Republic,CZE,6258.89103703659,100,10525347,0.3836552048987282,0.27979274611398963,0.2341026848798869,25274.053933113504,18431.906735751287,15421.9825718323
Denmark,DNK,5858.80153628748,100,5643475,0.30777499104263706,0.31458258688642066,0.3067001074883554,10176.272303833748,10401.358652812609,10140.73235399498
Dominican Republic,DOM,1615.51524233024,98.470979,10165178,0.3582089552238806,0.34328358208955223,0.1812366737739872,5792.562688255531,5551.205909578218,2930.7608839388104
Ecuador,ECU,1376.39311532627,98.976067,15951838,0.2808823529411765,0.3544117647058824,0.25,6103.906450984288,7701.787720875463,5432.796317629994
"Egypt, Arab Rep.",EGY,1683.21351829557,99.8,90424654,0.3797445583738082,0.3642741500269833,0.21676560532469868,57683.0434812015,55333.09476524541,32926.607008454666
